Input,Output
-20,0.54
-19.5,0.32
-19.0,0.08
-18.5,-0.17
-18.0,-0.41
-17.5,-0.62
-17.0,-0.8
-16.5,-0.92
-16.0,-0.99
-15.5,-0.99
-15.0,-0.94
-14.5,-0.82
-14.0,-0.66
-13.5,-0.45
-13.0,-0.22
-12.5,0.03
-12.0,0.28
-11.5,0.51
-11.0,0.71
-10.5,0.86
-10.0,0.96
-9.5,1.0
-9.0,0.98
-8.5,0.89
-8.0,0.76
-7.5,0.57
-7.0,0.35
-6.5,0.11
-6.0,-0.14
-5.5,-0.38
-5.0,-0.6
-4.5,-0.78
-4.0,-0.91
-3.5,-0.98
-3.0,-1.0
-2.5,-0.95
-2.0,-0.84
-1.5,-0.68
-1.0,-0.48
-0.5,-0.25
0.0,0.0
0.5,0.25
1.0,0.48
1.5,0.68
2.0,0.84
2.5,0.95
3.0,1.0
3.5,0.98
4.0,0.91
4.5,0.78
5.0,0.6
5.5,0.38
6.0,0.14
6.5,-0.11
7.0,-0.35
7.5,-0.57
8.0,-0.76
8.5,-0.89
9.0,-0.98
9.5,-1.0
10.0,-0.96
10.5,-0.86
11.0,-0.71
11.5,-0.51
12.0,-0.28
12.5,-0.03
13.0,0.22
13.5,0.45
14.0,0.66
14.5,0.82
15.0,0.94
15.5,0.99
16.0,0.99
16.5,0.92
17.0,0.8
17.5,0.62
18.0,0.41
18.5,0.17
19.0,-0.08
19.5,-0.32
20.0,-0.54
